Sentences,path
Жалпы биыл көпбалалы отбасыларға мемлекеттік жәрдемақы төлеу үшін қазынадан жүз жетпіс жеті бүтін оннан алты миллиард теңге көзделген .,audio2/100.wav
"Онан кейін тағы осы немен тоқтамай , қосымша тағы да кәсіптер ашып .",audio2/101.wav
Солтүстіктің қытымыр аязы кезінде көк мұздың астындағы ауаны арнайы құрылғы арқылы бақылап отырады .,audio2/102.wav
"Қыз бала , бүгінгі таңда операциясы бітті , ол жағдайы ауыр .",audio2/103.wav
Жалпы Оңтүстік Кореяның Қазақстаннан сатып алатын тауардың сексен проценті — мұнай .,audio2/104.wav
Он тоғыз жылға екі пайыздық үстемемен берілетін қаржы .,audio2/105.wav
Онда сексен сегіз мың теңге көлемінде жаңағы әрбір адамға ақша төлейді .,audio2/106.wav
Халық арасында садақ ату үрдісін жаңғыртуды қолға алған .,audio2/107.wav
« Азық-түлік тапшылығы болуы мүмкін » деген хабар халық арасында бар .,audio2/108.wav
Олар да өз ойларын ортаға салады .,audio2/109.wav
« ФлайАрыстан » рейстеріне сұраныс жоғары .,audio2/110.wav
FlyArystan рейстеріне сұраныс жоғары .,audio2/111.wav
"« Аридтік аймаққа төзімді терек түрлерінің тұқымын тәлімбақта өсіріп , таратуға болар еді » , — дейді мамандар .",audio2/112.wav
Төрт баласы бар .,audio2/113.wav
"Жиырма – отыз жылқым бар , жеті жүздей қойым бар .",audio2/114.wav
Одан кейін барып әр осал топтағы адамдарға өздеріне ( ыы ) жеке проездной билеттер шығарып береміз .,audio2/115.wav
Тоғыз қабаттан тұратын мына үй ортада орналасқан .,audio2/116.wav
"« Оны қою өте қиын » , — дейді шоудың қоюшы режиссёрі Игорь Бобрин және хореограф Наталья Бестемьянова .",audio2/117.wav
Жол еркелікті көтермейді .,audio2/118.wav
Светлана осы қылмысқа қатысты қазақстандық заңның да қатаңдатылуын қолдайтынын айтады .,audio2/119.wav
Таңертеңнен екі шортан ұстапты .,audio2/120.wav
Енді оларға қолданылатын жаза қатаңдатылуы мүмкін .,audio2/121.wav
Сонымен қатар « Еңбеккейзед » электрондық порталы арқылы емханаға жиырма төрт маман тіркелген .,audio2/122.wav
Сонымен қатар enbek . kz электрондық порталы арқылы емханаға жиырма төрт маман тіркелген .,audio2/123.wav
"Иә , уже онда сіз горком .",audio2/124.wav
Бір семьялық екі шөберені сол Кремльдік іргеге жіберейік деп жатырмыз .,audio2/125.wav
"Кабинетте отырып ЖПС көмегімен техникалардың қозғалысын , жанармай шығынын , жұмыс өнімділігін бақылай аламыз .",audio2/126.wav
"Отандық сарапшылар : « Тамыз айының ортасында теңге қайта нығаяды » , — деп отыр .",audio2/127.wav
Бірақ оны қазір тамырымен жою мүмкін емес .,audio2/128.wav
"Бұл қалың жұрттың қабырғасын қайыстырған апатта қаза болғандарды еске алып , халық аза тұтуда .",audio2/129.wav
Гүл алып жақынына асыққан бұл жігітке жай жүрістің жақпайтыны белгілі .,audio2/130.wav
"Цифрлық технологияның , жаһандық экономиканы дамытудағы рөлі туралы ойларын ортаға салды .",audio2/131.wav
Олар дайындықтарын жүргізе береді .,audio2/132.wav
Шүлбі су қоймасында да жағдай тұрақты .,audio2/133.wav
Ал Теміртауда ақ ұлпа қар қайтадан қап-қара болып кетті .,audio2/134.wav
Шығыс Қазақстан облысы Тарбағатай ауданындағы Елеке сазына зерттеу жүргізген археолог-ғалымдар биыл да тарихи олжаға кенелді .,audio2/135.wav
Ол сыйымдылығы бір тонна болатын биг-бэгтер .,audio2/136.wav
"Содан өзіңіз бюджеттен ақша бөлсеңіз , қанша уақыт кетеді бұған ?",audio2/137.wav
"Қазір оңалдым , жақсы .",audio2/138.wav
Сондықтан Ресей Федералды кеңесі Мемлекеттік думасы атынан бауырлас қазақ халқын Тәуелсіздік күнімен құттықтаймыз .,audio2/139.wav
Жол торабында екінші көпір тапсырылған соң жүйткіген автомобиль саны екі есе артады .,audio2/140.wav
Біздің мемлекеттің алдында тұрған міндет — жұмыс беру .,audio2/141.wav
"Рақмет , ( ыы ) Павлодар облысында коронавирус инфекциясы тіркелген жоқ .",audio2/142.wav
"Рәсімнің басты қонағы , әрине — Нұрсұлтан Назарбаев .",audio2/143.wav
"Жоба толық жүзеге асқанда теңізден өзендерге шығатын жол ашылып , су маржандарының өрісі де кеңеймек .",audio2/144.wav
Ескі жол картасын жүзеге асыра алмаған жауапты тұлғаларды тәртіптік жазаға тартуды тапсырды .,audio2/145.wav
Жалпыұлттық мереке ретінде көрсеткіміз келеді .,audio2/146.wav
Балалар терезе алдына өз бетімен көтеріле алмауы үшін жиһаздарды терезеге жақын қоймау керек .,audio2/147.wav
Енді кәмелеттік жасқа толмаған балалар міндетті түрде жеңілдік картасын алуы тиіс .,audio2/148.wav
"Бүгін бұл жерге Елбасымен жүздесуге белсенді , талантты , табысты жастар жиналды .",audio2/149.wav
"Мынау жақсы болды , мынау үш жігітке рақметімді айтамын .",audio2/150.wav
Зауыт алғаш іске қосылғанда мынадай мұнай сорғыштарды он шақты адам үш тәулікте әрең әзірлейтін .,audio2/151.wav
Біздің алдымыздағы басты міндеттердің бірі — медико-санитарлық көмек қолжетімді болу және оның сапасын жақсарту .,audio2/152.wav
Өйткені біз ( іі ) тікелей біздің ( іі ) басқа ( і ) мемлекеттерге біздің проектімізді көрсете аламыз .,audio2/153.wav
Қазір еліміздегі ұлттық еріктілер желісі құрамында сексеннен астам бірлестік бар .,audio2/154.wav
Асқар Мамин Қазақстан Республикасының Премьер-министрі болып тағайындалды .,audio2/155.wav
"Бірлік Берікұлы , Бекболат Базаров , « Қорытынды жаңалықтар » .",audio2/156.wav
Президент әбден жыр болған « Астана ЛРТ » мәселесіне де тоқталды .,audio2/157.wav
Президент әбден жыр болған Astana LRT мәселесіне де тоқталды .,audio2/158.wav
« Нұрлы жол » мемлекеттік бағдарламасы екі мың жиырма бесінші жылға дейін ұзартылады .,audio2/159.wav
Қазір бұлардың саны алпыстан асқан .,audio2/160.wav
Бұл сабақта біз тек теорияны жаттап қана қоймай .,audio2/161.wav
Жол бойындағы жарнама тақтайшаларын айтпағанның өзінде осы секілді мың жеті жүздей қоғамдық көлікке плакаттар ілінген .,audio2/162.wav
Балаларына мектепке баруға киім таппай отырған отбасыларға арналған көмек .,audio2/163.wav
Бірінші кезекте қараңғы түсе және елді мекеннен тыс жерден жететін өтініштер қарастырылады .,audio2/164.wav
Өзіңіздің автокөлігіңізде өрт қауіпсіздік ережелерін сақтап жүріңіздер .,audio2/165.wav
"Қауіпсіздікті нығайтып , адамзаттың жалпы дамуына қатысты қазақ елінің ұсыныстарын әлемдік қауымдастық жоғары бағалап жүр .",audio2/166.wav
Ал қалғанын Қазақстаннан алдыртқан .,audio2/167.wav
Тәртіпке бағынбағандар алысқа ұзаған жоқ .,audio2/168.wav
"Жемқорлықпен күресті күшейту , қылмыс көлемін азайту , есірткімен күрес , жастарды қолдау .",audio2/169.wav
Оның бойында бүгінде елу алты қауіпті учаске бар екен .,audio2/170.wav
"Олардың арасында адам өмірін өрттен , судан арашалап қалған бейбіт күннің батырлары бар .",audio2/171.wav
Көптеген ғаламдық үдерістердің белсенді қатысушысы болуына ықпал етті .,audio2/172.wav
Екі мың он екінші жылдан бері өңірде бір жарым миллион гектардай бос жер анықталған .,audio2/173.wav
"Аса мұқтаж және көпбалалы отбасылар биылғы бірінші сәуірден қалмай , әлеуметтік көмекті алатын болады .",audio2/174.wav
"Неше құдықтың беті ашық екен , анықталды ма ?",audio2/175.wav
"Жедел ( і ) көтеріп , жаңа автомашин « КамАЗ-бен » жіберді .",audio2/176.wav
Жиырма бесінші қаңтардан бастап Қазақстанда республикалық маңызы бар үш жол ақылы болады .,audio2/177.wav
Және мемлекетіміздің одан әрі дамуы үшін қолданыла береді .,audio2/178.wav
"Мысалы , Аустралияда әр тұрғынға алты-жеті , Жаңа Зеландияда он алты – он жеті қойдан келеді .",audio2/179.wav
"Елу алты кинофестивальде жоғары жүлделерге ие болып , елімізге он жеті гран-при әкелдік .",audio2/180.wav
Қысқартуға ұшыраған мұғалімдерге жаңа жұмыс орындары ұсынылады .,audio2/181.wav
Тек жүк көліктері мен тракторлар ғана жүреді .,audio2/182.wav
Қалғаны — жүк көліктері мен автобустар .,audio2/183.wav
Жыл басынан алты жүздей көпбалалы отбасы жәрдемақы алуға өтініш берген .,audio2/184.wav
"« Дегенмен әдеп нормаларына пысқырмайтындардың әрекеті « Басы ауырмағанның басқамен ісі жоқ ! » дегенді еске салатыны рас » , — дейді қала тұрғындары .",audio2/185.wav
Сонымен қатар педагогтің жүктемесін қысқарту бойынша жеке нормалар ( көзгерт ) көзделген .,audio2/186.wav
Телевизия саласының майталмандары бас қосқан дода осымен төртінші рет ұйымдастырылып отыр .,audio2/187.wav
Сондықтан бүгін үлкен бір мерекелі күн .,audio2/188.wav
Кәсіпкер компания қаражатына Атыраудың шеткі аудандарындағы екі жүз көшені жарықтандыруда .,audio2/189.wav
Биелер күніне бес мәрте арнайы қондырғының көмегімен сауылады .,audio2/190.wav
Бұл жоба халық үшін шын мәнінде тосын сый болды .,audio2/191.wav
"« Жұмысты оңтайландыруға мүмкіндік береді » , — дейді мамандар .",audio2/192.wav
Ал қалған бөлігі келесі жылдың соңына дейін аяқталады .,audio2/193.wav
Оларды шетелге жіберетінбіз .,audio2/194.wav
"Өркендеп өсуіне , болашақта біз өз елімізді көтеруімізге осы жастар ( іі ) уәдемізді береміз .",audio2/195.wav
Бірақ барлық жерде сары жолақ .,audio2/196.wav
Екі мың жиырмасыншы жылдың соңында екінші кезегі іске қосылады .,audio2/197.wav
Офицерлік шенді мереке қарсаңында алу әскерилерге ерекше жауапкершілік жүктейтіні белгілі .,audio2/198.wav
"Қазіргі уақытта Жәнібек Әлімханұлы шығып жүр кәсіпқой бокста , Айдос Ербосынұлы шығып жүр .",audio2/199.wav
Бұл іске мемлекеттік қолдаудың да септігі бар .,audio2/200.wav
"Бірлік , қайырлы кеш . Сөз өзіңде .",audio2/201.wav
« Мен өзімнің дәрігерлі міндетімді Қазақстанның заңына ( іі ) сәйкес орындаймын » деп .,audio2/202.wav
"Қазақстан дін аман , осыған дейін өзге елдерден келіп , « коронавирусты жұқтырды » деген .",audio2/203.wav
"Қуаныштымын , қуанышымның шегі шексіз .",audio2/204.wav
— Тиімді шағын және орта бизнес — қала мен ауылды дамытудың берік негізі .,audio2/205.wav
Солтүстікте де жағдай көңіл көншітпейді .,audio2/206.wav
"Зейін , ( іі ) қарап отырсақ , ( іі ) біреу өлең жолдарын жымқырады , біреу нотаны ұрлайды , енді біреу идеяны иемденеді .",audio2/207.wav
"Қазақстандық экспорттаушы компания Өзбекстан нарқына шықса , қуана көмектесеміз .",audio2/208.wav
Оқу мекемесі заман талаптарына сай жабдықталған .,audio2/209.wav
Қостанайда Ұлыстың ұлы күнін атап өтуге еңбек ұжымдары бір кісідей атсалысты .,audio2/210.wav
Бұл акцияның жаңашылдығы бұл ( э ) жаңағы « Атамекен » порталында ( э ) « Мектепке жол » ( ээ ) платформасы құрылды .,audio2/211.wav
Осындай кезде сол бекеттердің қалай жұмыс істейтінін әріптесім Олжас Керейхан көзбен көріп өзі де жылынып қайтты .,audio2/212.wav
"Оқу-жаттығулары кезінде граната жарылып , салдарынан нөмірі тоқсан тоғыз бен жүз он алты әскери бөлімінде .",audio2/213.wav
"Үшіншіден , келер жылы халық санағы өткізіледі .",audio2/214.wav
Жалған ақпарат таратқан адам әлі іздеуде жүр .,audio2/215.wav
Алайда қазіргі уақытта бұл көрсеткіш төмен .,audio2/216.wav
Қызылжар ауданының әкімі Жанат Сәдуақасов өзекті деген мәселелерді айтып тұр .,audio2/217.wav
Өйткені карантин шағын бизнеске біраз кедергі келтіргені анық .,audio2/218.wav
"Иә , қайырымдылық жасау , ол әрқайсысымыздың , мен ойлаймын , парызымыз деп .",audio2/219.wav
"Осы оқу жүйесіне тікелей жауапты министрдің есебінше , биыл елімізде мектептерде білім алатын оқушылардың саны үш миллионнан асады .",audio2/220.wav
"Ең бастысы , қарапайым халыққа қажетті , олпы-солпы емес , сапалы заңдар .",audio2/221.wav
"Сосын мемлекеттік бағдарламамен несие алып , он бас жылқы сатып алдым .",audio2/222.wav
"Мамандар соған қарап , астықты тиісті кептіруден өткізіп барып , қоймада сақтайды немесе саудаға шығарады .",audio2/223.wav
"— Шикізатты өңдеп , дайын өнім шығару .",audio2/224.wav
« Құрметті сенатор » қандай да бір шешім не қаулы қабылдайтын атақ емес .,audio2/225.wav
"Ең бастысы , ( іі ) айтқанын ( і ) бүгін жүзеге асырып отырған Президент ретінде ( і ) ел ішінде танылып отыр бүгін ( і ) Қасым-Жомарт Кемелұлы .",audio2/226.wav
Олардың сеніміне ие болу ең үлкен жеңіс деп білемін .,audio2/227.wav
"Үш күн қатарынан қаламгерлер құрлық әдебиетінің өзекті проблемаларын талқылап , ортақ түйінге келуі тиіс .",audio2/228.wav
"Мәселен , төрт адамға лайықталған мына бөлмеде бес адам жатыр .",audio2/229.wav
Штат құрамының жасақталу және тиісті нормативтік-құқықтық база дайындау жөнінде мәлімет берілді .,audio2/230.wav
Бекзат Саттархановтай саңлақ спортшымыздың ( і ) қысқа да болса көпке үлгі болған ғибратты ғұмырын көрсеткіміз келді осы фильм арқылы .,audio2/231.wav
Бала көргенін ұмытпайды .,audio2/232.wav
"Мереке қарсаңында , міне , осындай сыйлық алып отырмыз , көптен-көп рақмет !",audio2/233.wav
"Алпыс бестен астам , жетпіске жуық аударма өлеңдері бар , поэмалары бар .",audio2/234.wav
Балықшының бірде-бір құтқару құралы жоқ .,audio2/235.wav
"Бір мақсат алды ма , содан қайтпайды .",audio2/236.wav
Ал екінші орынды Ішкі істер министрінің кеңесшісі Нұрділдә Ораз еншіледі .,audio2/237.wav
Қолданыстағы митинг өткізу туралы заң мың тоғыз жүз тоқсан бесінші жылы қабылданған .,audio2/238.wav
"Ол сол өзіндік құнға , сатылатын тауарының ( ыы ) құнына белгілі бір деңгейде қымбаттауына ( әк әә ) әкеледі .",audio2/239.wav
"Бұндағы негізгі өзек — қоғамдағы әкелердің рөлін арттыру арқылы отбасын нық қылып , ертең мықты мемлекетке айналуымыз керек деген мақсатта ғана өтіп жатыр .",audio2/240.wav
"Иә , дұрыс айтасыз , енді жол жүргенде сақтық шараларын мүлтіксіз орындауымызға тура келеді .",audio2/241.wav
Бұл компьютерный ойында біз не көреміз ?,audio2/242.wav
Құжаттарды да бермеді .,audio2/243.wav
"Ұлттық экономика министрінің орынбасары Ермек Алпысовтың айтуынша , барлығы төрт жүз елу екі шара іске асырылады .",audio2/244.wav
Эксклюзивті түрде « Хабар » арнасында көрсетуге тырысамыз .,audio2/245.wav
"Қазақстан енді Куба , Грекия , Македониямен қылмыстық істер бойынша өзара көмек беру туралы келіспек .",audio2/246.wav
Бұл петропавлдық тәртіп сақшысы Мейірбек Мейрамның ұстанымы .,audio2/247.wav
Сондай-ақ осы жылдан бастап көлік нөмірі дубликаты әр облыстық орталықта небәрі бір күнде дайындалады .,audio2/248.wav
Нәтижесінде төрт жүзден астам азамат баспаналы болады .,audio2/249.wav
"Соңғы мәліметке сай , елде жиырма сегіз адамнан ауру белгілері табылған .",audio2/250.wav
"Қала бойынша екі жүз дана , екі жүз данасы орнатылды .",audio2/251.wav
"« Тарихи маңызды сәтте халық белсенділік танытып , өз таңдауын жасады » , — дейді кандидат .",audio2/252.wav
Ақысыз қызмет атқарып жүрген қайырымды жандардың қатарында Оксфордта оқып жүрген студенттер де бар .,audio2/253.wav
Алматыда үміткерлер кешенді тестті төрт жоғарғы оқу орнының қабырғасында тапсырды .,audio2/254.wav
Қылмыстық кодексінің үш жүз алпыс алтыншы бабы төртінші бөлігімен айыпталған Аманғалиев Серік кінәлі деп танылсын .,audio2/255.wav
Ол тілегі бір Қазақстан халқын бауырластырып біріктіре түсуге бағытталған .,audio2/256.wav
Кәріз құдығы жоқ .,audio2/257.wav
Онда отыз жыл бойы назардан тыс қалған жиырма сегіз шақырым жолдың жөндеу жұмыстарына көңілдері толмайтындықтарын жеткізген .,audio2/258.wav
Қазір осы іске қатысты барлық материалдар облыстық табиғатты қорғау прокуратурасына жіберілді .,audio2/259.wav
"Профессорлар және өнер жұлдыздарынан екікүндік шеберлік сабағын алып , біліктіліктерін арттырды .",audio2/260.wav
Тәртіп күшейтілген .,audio2/261.wav
Құстар мен балықтардың түр-түрі бар .,audio2/262.wav
"Сондықтан ойлаймын , енді ( м ) бұл шешім орынды .",audio2/263.wav
Бізде екі мың он екінші жылға дейін сүйек кемігінің бағанасын ауыстыру мүмкін болмаған .,audio2/264.wav
Яғни аналар осы бағдарлама арқылы үйде отырып шаруасын дөңгелете береді .,audio2/265.wav
Мұндағы халық саны жеті мыңға жуық .,audio2/266.wav
Сонымен қатар ( іі ) Теректі ауданы Әйтиев аулында өрт ( і ) орын алды .,audio2/267.wav
Мысал ретінде « Астана » халықаралық биржасының акционері атанған « НАСДАК » және « Голдман Сакс » компаниялары үлгі етілді .,audio2/268.wav
Мысал ретінде « Астана » халықаралық биржасының акционері атанған NASDAQ және Goldman Sachs компаниялары үлгі етілді .,audio2/269.wav
"« Тәуелсіздікті алу бар , бірақ оны ұстап тұру қиын » , — дейді Елбасы .",audio2/270.wav
Қай бригаданың қанша сағат жұмыс істегені « Көмек » электронды жүйесімен есептеледі .,audio2/271.wav
Бұл енді сіздің арқаңыз .,audio2/272.wav
Қорқатын ештеңесі жоқ .,audio2/273.wav
Қала тазалығына жауапты мекемелер неге жауапсыз ?,audio2/274.wav
Бұл жұмыстар тоғыз аталым бойынша сарапқа салынды .,audio2/275.wav
Осы арқылы біз жеңілдік те жасай аламыз .,audio2/276.wav
